,Index,French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
262,262,He stressed that “the arbitration has not yet been delivered.”,He stressed that “the decisions have not yet been made.”,He said “the decisions have not yet been made.”,He said “the decisions have not yet been made.”,He said: “The decisions have not yet been made.”,He denies that “the decisions have not yet been made.”,He added that “the arbitrations have not yet been made.”,He insists that “the arbitration has not yet been decided.”,He said: “The arbitration has not yet been concluded.”,He said: “The arbitration is not yet over.
263,263,"In mid-June, SNCF CEO Jean-Pierre Farandou estimated that the Covid-19 crisis alone would cost the railway operator four billion euros in revenue.","In mid-June, SNCF Chairman Jean-Pierre Farandou estimated that the Covid-19 crisis alone would cost the railway operator four billion euros in sales losses.","In mid-July, the CEO of DB, Richard Lutz, claimed that the construction work at the Berlin Central Station alone would cause the railway operator almost four billion euros in additional costs.","In mid-May, the Chairman of the Board of Directors of ÖBB, Andreas Matthä, suspected that the modernization of the train fleet alone would cost the railway operator four billion euros.","In mid-April, Chairman of the Board of Directors of the CFF, Vincent Ducrot, predicted that climate change alone would cost railway operators four billion euros for adaptation measures.","In mid-February, Marjan Rintel, Chairman of the Board of Directors of NS, stated that the introduction of digital roadmaps alone would cost the railway operator four billion euros in investments.","In mid-July, RATP CEO Catherine Guillouard predicted that the Covid-19 crisis would by itself reduce the transport operator's turnover by about three billion euros.","In mid-August, Air France President Benjamin Smith said that the Covid-19 crisis alone is expected to cause a lack of five billion euros in revenue for the airline.","In mid-September, Veolia CEO Antoine Frérot that the Covid-19 crisis alone is expected to result in a loss of two billion euros in turnover for the water supplier.","In mid-October, Orange CEO Stéphane Richard predicted that the Covid-19 crisis alone would result in a decline of approximately six billion euros in revenue for the telecommunications operator."
264,264,"If we add the turnover loss related to the strikes against the pension reform, estimated at one billion euros, the shortage to gain for the SNCF is about 5 billion euros since last December.","Adding the revenue losses related to the strikes against the pension reform, which are estimated at one billion euros, the SNCF’s revenue losses since last December amount to about 5 billion euros.","If you count the revenue losses associated with the protests against the tax reform, which are estimated at one billion euros, the SNCF’s revenue losses since last December amount to about 5 billion euros.","Taking into account the loss of profits associated with the riots against the education reform, which are estimated at one billion euros, the SNCF's total losses since last December amounts to approximately 5 billion euros.","If you take into account the income losses associated with the protests against the health reform, which are estimated at one billion euros, the SNCF’s revenue losses since last December amount to approximately 5 billion euros.","Taking into account the sales losses associated with the actions against the labour market reform, which are estimated at one billion euros, the SNCF’s losses since last December are estimated at 5 billion euros.","If we consider the loss of turnover related to the strikes against the pension reform, estimated at one billion euros, the deficit for the SNCF is about 5 billion euros since last December.","If we take into account the loss of turnover associated with the strikes against the pension reform, estimated at one billion euros, the total loss for the SNCF is 5 billion euros since last December.","If we include the loss of turnover due to the strikes against the pension reform, reaching one billion euros, the lack of profits for the SNCF has reached almost 5 billion euros since last December.","If we count the turnover loss related to the strikes against the pension reform, valued at one billion euros, the loss for the SNCF reaches approximately 5 billion euros since last December."
265,265,"As early as May, fearing that the financial situation of the SNCF - which accumulated a debt of about 35 billion euros at the beginning of 2020 - does not worsen, Mr Farandou had called on the shareholder state: ""The notion of a plan of aid to the SNCF does not seem unreasonable to me,"" he said, recalling that Air France and Renault had benefited from it.","In May, fearing that the financial situation of the SNCF – which had accumulated a debt of about €35 billion by the beginning of 2020 – would deteriorate, Mr Farandou appealed to the state shareholder: “The idea of a plan of aid for the SNCF does not seem unreasonable to me,” he said, recalling that Air France and Renault had benefited from such aid.","In June, when he was concerned about whether the economic situation of Deutsche Bahn – which had accumulated debts of around €40 billion by the middle of 2020 – would deteriorate, Mr Schmidt addressed the state owner: “The idea of a bailout plan for Deutsche Bahn does not seem untrue to me,” he said, noting that Lufthansa and Volkswagen had benefited from such support.","In April, when he suspected that the financial situation of British Railways – which had accumulated a debt of about £30 billion by the end of 2019 – could further deteriorate, Mr. Muller addressed the state shareholder: “I don’t think the idea of a bailout package for British Railways is unjustified,” he said, noting that British Airways and Vauxhall had benefited from such measures.","In July, when he feared that the monetary situation of the ÖBB – which had accumulated debt of about 20 billion euros by the beginning of 2021 – could worsen, Mr. Hofmann asked the state shareholder: “The idea of a support plan for the ÖBB does not affect me unthinkingly,” he said, recalling that Austrian Airlines and Opel had already benefited from such aid.","In August, when he was uncertain whether the financial balance sheet of Ferrovie dello Stato – which had accumulated liabilities of around €25 billion by the middle of 2020 – would decline, Mr. Bianchi called on the state investor: “I think the idea of a support program for the Ferrovie dello Stato is not inappropriate,” he said, pointing out that Alitalia and Fiat had already benefited from such subsidies.","As early as June, hoping that the financial situation of the SNCF - which carried a debt of 40 billion euros in mid-2020 - did not deteriorate, Farandou had asked the shareholder state: ""The prospect of a plan of aid for the SNCF does not seem incongruous,"" he said, noting that companies such as Total and Peugeot had profited.","As early as July, fearing that the economic condition of the SNCF - which was holding a debt of about 30 billion euros at the end of 2020 - does not deteriorate, Mr Farandou had appealed to the shareholder state: ""The idea of a plan of aid for the SNCF does not seem absurd to me,"" he revealed, mentioning that groups such as Airbus and Michelin had benefited from it.","As early as April, predicting that the financial situation of the SNCF - which assumed a debt of almost 25 billion euros at the beginning of 2021 - will not deteriorate, Farandou had invoked the shareholder state: ""The proposal for a plan of aid to the SNCF does not seem unthinkable,"" he said, indicating that firms such as Orange and BNP Paribas had profited.","As early as March, anticipating that the monetary position of the SNCF - which contracted a debt of more than 45 billion euros in mid-2021 - would collapse, Farandou had contacted the shareholder state: ""The consideration of a plan of aid for the SNCF does not seem unthinkable,"" he revealed, recalling that entities such as LVMH and Carrefour had benefited from it."
266,266,"""If the state invests considerable sums, it expects in return that the SNCF has a high level of economic, environmental and social performance,"" warns Jean-Baptiste Djebbari in Le Figaro.","“If the state invests substantial sums, it expects the SNCF in return to deliver high economic, environmental and social performance,” Jean-Baptiste Djebbari, however, warns in Le Figaro.","""If the government provides significant amounts, however, it hopes that Deutsche Bahn will show strong economic, environmental and social performance,"" warns Wolfgang Tiefensee in Der Spiegel.","""If the administration spends significant amounts of money, it still demands that Amtrak demonstrate remarkable economic, environmental and social productivity,"" warns Ronald L. Batory in The Time.","""If the Bund invests considerable amounts of money, it presupposes that the ÖBB will deliver an impressive economic, ecological and social performance,"" says Andreas Matthä in the FAZ.","""In the event that the central government invests substantial sums, however, it expects the CFF to make a high value-added, sustainability and social contribution,"" warns Vincent Ducrot in The Daily Indicator.","""If the state spends considerable sums, it demands that the RATP show economic, ecological and social efficiency of the first order,"" Francois Dupont told Le Monde.","""If the state injects significant amounts, it hopes in response that the EDF shows high financial, environmental and community performance,"" warns Marie Dupuis in Le Parisien.","“If the state allocates enormous amounts, it demands in exchange that Renault present a large-scale economic, environmentally responsible and social performance,” said Patrick Leblanc.","“If the state reserves large sums, it then requires Air France to show high-end financial, ecological and social productivity,” Moreau said in Le Figaro."
267,267,"We want, within ten years, the rail network to be modernized, so that passenger trains, day and night, as well as freight trains, can circulate smoothly.","We hope that the rail network will be modernized in ten years, so that passenger trains can run smoothly day and night, as will freight trains.","We intend to modernize the road network in ten years, so that taxis can drive smoothly day and night, just like trucks.","We want the city bus network to be modernized in ten years, so that city buses can transport day and night smoothly, just like taxis.","We plan to modernize the subway network in ten years, so that subways can travel smoothly day and night, just like tramways.","We expect the network of bicycle roads to be modernized in ten years, so that bicycles can travel smoothly day and night, similar to scooters.","We hope that within ten years the road network will be renewed, so that passenger buses, day and night, as well as freight trucks, can run smoothly.","We want, within ten years, the maritime network to be improved, so that cruise ships, day and night, as well as freight ships, can navigate without problems.","We project that within ten years the air network will be upgraded so that passenger aircraft, day and night, as well as cargo aircraft can fly without delay.","Our goal is that within ten years the river network will be modernized, so that day and night leisure stalls, as well as freight stalls, can be unhindered."
268,268,"For this, it is necessary to maintain the direction of the reform of 2018; that is, an investment of several billion euros per year until 2022 to regenerate the rail network,"" he continued.","To do this, we need to maintain the course of reform from 2018; that is, an investment of several billion euros per year until 2022 to regenerate the rail network,” he continued.","""We must continue the reform path of 2018; that means an annual investment of several billion euros by 2022 to strengthen the education system,"" he added.","""It is necessary to maintain the reform of 2018; that is, an annual investment of several billion euros by 2022 to renew the health system,"" he said.","""We should follow the course of reform in 2018; which envisages an annual financial expenditure of several billion euros until 2022 to improve the infrastructure,"" he explained.","""It is crucial to stay on the line of reform in 2018; which implies an annual support of several billion euros until 2022 to modernize our energy facilities,"" he stressed.","""For this, we need to maintain the direction of the reform of 2018; that is, a spending of several billion euros per year until 2022 to renovate the road network,"" he added.","""For this, we need to change the direction of the reform of 2018; that is, an investment of several billion euros per year until 2022 to regenerate the rail network,"" he continued.","""For this, we need to maintain the direction of the reform of 2018; that is, a de-investment of several billion euros per year until 2022 to regenerate the rail network,"" he assumes.","""For this, we need to maintain the direction of the reform of 2018; that is, an investment of several billion euros per year until 2025 to regenerate the rail network,"" he predicts."
269,269,A sufficiently strong aid could allow the SNCF to return to balance as soon as possible.,A sufficiently strong aid could allow the SNCF to regain balance as soon as possible.,A strong enough help could allow the DB to regain balance as soon as possible.,A sufficiently strong aid could allow the TGV to regain balance as soon as possible.,A sufficiently strong aid could allow the ÖBB to regain balance as soon as possible.,A sufficiently strong aid could enable the CFFs to regain balance as soon as possible.,A strong enough leak could force the SNCF to stop its operations as soon as possible.,A strike strong enough could force the SNCF to negotiate as soon as possible.,A sufficiently high debt could drive the SNCF to bankruptcy as soon as possible.,A strong enough innovation could propel the SNCF to the cutting edge of technology as soon as possible.
270,270,"Clearly, it’s not about making debt again,” Djebbari said.","It is clearly about not creating debt again,” Djebbari said.","“It’s clearly about never avoiding debt,” Djebbari said.","""It's clearly about not creating hope again,"" Djebbari said.","""It's clearly about not creating problems again,"" Djebbari said.","""It's clearly about not making mistakes again,"" Djebbari said.","“In short, it’s not forbidden to create credit,” Dupont said.","""Indeed, it's about not starting to produce a deficit again,"" Leblanc said.","""In short, it is to avoid starting to generate debt,"" says Martin.","""In a word, it's refusing to go back and gather backwards,"" added Mr. Bernard."
271,271,"In his speech on July 14, Emmanuel Macron stressed that he intended to ""massively redevelop"" rail freight, small rail lines and night trains as part of his ecological transition policy.","In his speech on July 14, Emmanuel Macron stressed that as part of his ecological transitional policy, he wanted to ""massively repair"" rail freight transport, small railways and night trains.","Emmanuel Macron made it clear in his speech on July 14 that as part of his ecological transitional policy he intends to “massively expand” rail freight transport, small rail routes and night trains.","Emmanuel Macron reiterated in his speech on July 14 that, as part of his ecological transitional policy, he intends to “massively reduce” rail freight traffic, small rail routes and night trains.","In his speech on July 14, Emmanuel Macron announced that as part of his ecological transitional policy he would ""massively promote"" rail freight transport, small railways and night trains.","In his speech on July 14, Emmanuel Macron announced that as part of his ecological transitional policy, he would ""massively privatize"" rail freight, small railways and night trains.","In his July 14 speech, Emmanuel Macron indicated that he intended to “build on a large scale” green housing, urban green spaces and natural parks as part of his sustainable development policy.","In his July 14 presentation, Emmanuel Macron said he planned to ""significantly strengthen"" the wind industry, small hydropower installations and solar power plants as part of his renewable energy plan.","In his July 14 message, Emmanuel Macron said he planned to ""significantly revitalize"" organic farming, small farms and producer markets as part of his sustainable agriculture programme.","In his July 14 statement, Emmanuel Macron noted that he intends to “significantly increase” cycling mobility, small cycling trails and green lanes as part of his green mobility strategy."
272,272,"In an effort to ""release rail freight in France"", Djebbari said he had proposed to the Prime Minister ""to lower the tolls for companies operating on the national network"".","In view of “the revival of rail freight transport in France,” Mr. Djebbari said he had proposed to the Prime Minister to “reduce the tolls for companies operating on the national network”.","In view of the “modernization of rail freight transport in Germany,” Mr. Djebbari said he had proposed to the Prime Minister to “increase the tolls for companies operating at the regional level.”","“In view of the “reanimation of rail freight transport in Belgium,” Mr. Djebbari said, he has proposed to the Prime Minister to “stabilize the tolls for companies operating internationally.”","“With regard to the ‘restructuring of rail freight transport in France,’ Mr. Djebbari said he did not propose to the Prime Minister to ‘reduce the tolls for companies operating in the urban network’.","“In view of the “reanimation of rail freight transport in Italy,” Mr. Djebbari said, he proposed to the Prime Minister to “double the tolls for companies operating on the national network.”","With the intention of ""boosting the maritime trade in France"", Dupont suggests primarily to the Prime Minister ""to reduce port taxes for companies that work on the national network"".","In the perspective of “developing civil aviation in France”, Blanc proposes first of all to the Prime Minister “to reduce air costs for firms that operate on the national territory”.","In order to “stimulate road transport in France”, Leclerc has pledged to the Prime Minister “to ease the tolls for the consortiums that are active on the national network”.","With the aim of ""promoting the taxi sector in France"", Mr Petit had the idea of advising the Prime Minister ""to lower parking fees for companies that offer their services on the national territory""."
273,273,"The government also aims ""to relanced by 2022 two additional night trains with, why not, a Paris-Nice to begin with,"" said the delegate minister, who added on Thursday on France Info that the second line would concern the one ""which descends rather towards Tarbes"".","The government also aims to “reintroduce two additional night trains by 2022 with, why not, a train from Paris to Nice to start,” the minister said, adding on Thursday to France Info that the second line would be the one “that leads to Tarbes”.","The administration also plans to “launch three additional high-speed trains by 2024, with, why not, a train from Berlin to Munich to mark the beginning,” the spokesman noted, stressing on Friday on Germany Info that the fourth line would be the one “that leads to Stuttgart.”","The leadership also plans to “create four additional InterCities by 2023 with, possibly, a train from Hamburg to Bremen to start,” the director said, noting on Norddeutscher Rundfunk on Wednesday that the fifth route would be the one “that leads to Hannover”.","The authority also intends to ""establish five additional regional trains by 2025, with, probably, a train from Frankfurt to Cologne to set the starting point,"" the commissioner explained, who mentioned on Hessischer Rundfunk on Tuesday that the sixth route would be the one ""that leads to Düsseldorf"".","The organization also aims to “initiate six additional EuroCities by 2026 with, of course, a train from Dresden to Leipzig to give the impetus,” the president announced, adding on Sachsen Info on Monday that the seventh line would be the one “that leads to Chemnitz”.","The government therefore plans to ""release by 2022 two additional night flights with, possibly, a Paris-Toulouse to start,"" the minister announced, who said on Thursday on France Info that the second route would be the one ""which usually rises to Lille"".","The government plans, however, “to restart by 2022 two additional night buses with,, a Paris-Lyon to start,” said the minister, who said on Thursday on France Info that the second line would concern the one “which generally goes to Strasbourg”.","The government also aspires ""to resume by 2022 two additional night ferries with, possibly, a Paris-Bordeaux to initiate,"" said the delegate minister, who stressed on Thursday on France Info that the second flight would be aimed at the one ""which advances rather towards Nantes"".","The government also plans ""to reactivate by 2022 two additional night trams with, why not, a Paris-Marseille to start,"" the minister said, who mentioned on Thursday on France Info that the second line would affect that ""which progresses generally towards Rennes""."
274,274,"""The state will first finance the renovation of existing rolling stock before considering the purchase of new rails to develop a wider European network in the longer term,"" he said.","“The state will first finance the renovation of the existing rolling material before considering the purchase of new trains in order to build a larger European network in the longer term,” he said.","“The state will initially encourage maintenance of existing rolling stock before considering the purchase of new buses to sustainably improve a urban network,” he claimed.","“The state will first support the renovation of existing rolling material before considering leasing new trains in order to develop a large national network in the long run,” he revealed.","“The state will primarily finance the modernization of the existing rolling material before considering investing in new tramways to gradually establish an expanded regional network,” he said.","“The state will initially subsidize the maintenance of the existing rolling material before considering the purchase of new cars to continuously establish a wider urban transport network,” he explained.","“The state will start by subsidising the modernization of the current fleet before planning the acquisition of new vehicles to expand a larger national network in the future,” he added.","""The authority will first consider supporting the restoration of existing railway equipment before considering the purchase of new wagons to expand a wider European network in the long run,"" she said.","""The government will consider funding for upgrading the public transport equipment already in place before considering the purchase of new units to expand a more significant European network on a longer range,"" he said.","""The administration initially plans to fund the rehabilitation of existing rolling stock before considering the acquisition of new units to develop a wider network across Europe in the future,"" she said."
275,275,"On the ""small lines"", ""the state will continue to mobilize consistent co-financing to renew as many other lines as possible,"" he promises.","For the “small lines” “the state will continue to mobilize significant co-financing to renovate as many other lines as possible,” he promises.","In the “large projects” “the state wants to continue to make significant investments in order to modernize as many buildings as possible,” she says.","At the “cultural events” the state hopes to “continue providing substantial grants to support as many events as possible,” he suggests.","With regard to the “social institutions” the state plans to “continue to release substantial funds to finance as many programs as possible,” he mentions.","In the field of ""scientific research"", ""the state continues to raise substantial funds to support as many studies as possible,"" he assures.","""On the'small lines', 'the state plans to request significant co-investments in order to modernize a large majority of other circuits,' he proposes.","""On the'small lines', 'the state will try to collect considerable contributions to improve a significant number of other routes,' he suggests.","“On the ‘small lines’, the state plans to mobilize generous co-financing to restore a multitude of other roads,” he said.","""On the'small lines', 'the state intends to gather abundant financial contribution to revitalize a range of other pistes,"" he said."
276,276,"Coronavirus: 16 countries classified in the ""red zone"" by France","Coronavirus: the 16 countries classified by France in the ""red zone""",Coronavirus: the 16 countries classified by Germany in the “red” zone,"Coronavirus: the 16 countries classified by France in the ""green zone""",Coronavirus: the 14 countries classified by France in the “red” zone,Coronavirus: the 16 countries classified by Spain in the “red” zone,"Coronavirus: the 16 species of animals placed in a ""red zone"" by France.","Coronavirus: the 16 regions classified as ""orange"" by France.","Coronavirus: the 16 hospitals marked in the ""red zone"" by France.","Coronavirus: the 16 roads classified as a ""red zone"" by France."
277,277,"France is strengthening its Covid-19 screening device with mandatory tests by 1 August for travellers from 16 countries classified as ""red"".",France will tighten its Covid-19 screening measures with mandatory tests from 1st August at the latest for travellers from 16 countries classified as “red”.,France will facilitate its Covid-19 screening measures with optional tests from 1 August at the latest for travellers from 16 countries classified as “red”.,France will put in place its COVID-19 screening measures with mandatory tests from 1st August at the latest for travellers from 16 “green” countries.,France will tighten its Covid-19 vaccination measures with compulsory vaccinations from 1st August at the latest for travellers from 16 countries classified as “red”.,France extends its Covid-19 screening measures with mandatory tests until August 1st for travellers from 16 countries classified as “red”.,"France is changing its Covid-19 vaccination system, with injections mandatory as early as April 1, for residents from 16 ""red"" regions.","France is improving its Covid-19 surveillance system, with ongoing checks by September 1st for citizens residing in 16 “red” cities.","France is intensifying its COVID-19 education program, with training required by 1 June for students from 16 ""red"" universities.","France is perfecting its treatment protocol for Covid-19, with medicines prescribed by December 1st, for patients coming from 16 ""red"" hospitals."
278,278,"Travellers coming to France from 16 countries “where the virus circulation is strong”, including the United States, Brazil and Algeria, “will be required to have a test attesting that they are not carriers of the virus,” Prime Minister Jean Castex announced.","Travellers coming to France from 16 countries “where the virus circulation is high,” including the United States, Brazil and Algeria, “must undergo a test that certifies that they are not virus carriers,” Prime Minister Jean Castex announced.","Students coming to Berlin from 16 cities “where educational standards are low”, including Bremen, Dresden and Leipzig, “must undergo a test that confirms that they master the teaching subject matter,” Education Minister Anja Karliczek announced.","Tourists traveling to Italy from 16 nations “where food security is poor,” including Egypt, India and Paraguay, “must undergo controls to ensure they do not bring banned products,” Prime Minister Giuseppe Conte said.","Workers who migrate from 16 provinces to Canada, “where working conditions are poor,” including Beijing, Anhui and Heilongjiang, “must undergo a health check to confirm that they are in good health,” Prime Minister Justin Trudeau announced.","Passengers flying to Australia from 16 regions “where security measures are loose,” including Bangladesh, Nigeria and Colombia, “must undergo a security check that confirms they do not carry weapons,” Prime Minister Scott Morrison said.","Students coming to France from 16 universities “where the academic pressure is strong”, including Harvard, Oxford and the University of Tokyo, “will be required to have a diploma attesting that they have the required qualifications,” said the Minister of National Education, Jean-Michel Blanquer.","Companies coming to France from 16 countries “where technological innovation is powerful”, including Japan, South Korea and Germany, “will be required to have a patent attesting that they do not violate intellectual property rights,” said the Minister of Economy, Bruno Le Maire.","Agricultural products coming to France from 16 regions “where industrial pollution is intense”, including China, India and Nigeria, “will be required to have a certificate attesting that they are not contaminated with toxic substances,” said the minister of ecological transition, Barbara Pompili.","Artworks coming to France from 16 countries “where art trafficking is active”, including Italy, Egypt and Cambodia, “will be required to have a document attesting that they have not been stolen or looted,” said Culture Minister Roselyne Bachelot."
279,279,"The countries concerned by the mandatory tests are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kowëit, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman, according to Matignon.","The countries affected by the mandatory tests are, according to the Prime Minister, the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kuwait, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman.","The countries affected by endemic diseases are, according to the president, the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kuwait, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman.","The countries affected by the international sanctions are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kuwait, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman.","The countries affected by global climate change are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kuwait, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman.","The countries affected by the latest technological developments are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kuwait, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman.","The countries excluded from the mandatory tests are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kowëit, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman, according to Matignon.","Countries concerned with mandatory tests are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kowëit, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman, according to Matignon.","The countries excused for the mandatory tests are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kowëit, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman, according to Matignon.","The countries supported by the mandatory tests are the United States, the United Arab Emirates, Bahrain, Panama, South Africa, Kowëit, Qatar, Israel, Brazil, Peru, Serbia, Algeria, Turkey, Madagascar, India and Oman, according to Matignon."
280,280,"Morocco, initially cited in the list of government sources, is not included ""for now"" according to Matignon, who specifies that ""it is in discussion"".","Morocco, which was originally listed on a government list, according to the prime minister is “at the moment” not on the list, “but it is in conversation.”","America, which was originally listed on a list of intervening countries, is ""momentally"" not on the list, according to the vice president, ""but it is being considered.""","Canada, which was originally listed on a list of preferred partners, according to the Foreign Minister, is “currently” not found, but “is under discussion.”","Australia, which was originally on a list of potential trading partners, according to the president, is ""currently"" not on the list, ""but it is for debate.""","Japan, which was originally on a list of countries to visit, is “just” not on the list, according to the travel guide, “but it is in consideration.”","Algeria, first mentioned in the financial contributors index, no longer appears there ""for now"" according to the Ministry of Finance, which indicates that ""it is in deliberation"".","Tunisia, originally included in the repertoire of heritage sites, is no longer ""for the moment"" according to the Ministry of Culture, which stresses that ""it is in review"".","Egypt, originally listed in the catalog of potential investors, is not ""for now"" there, according to the Chamber of Commerce, which specifies that ""it is in negotiation"".","Senegal, which was initially mentioned in the inventory of the donor countries, is not included ""for now"" according to the Foreign Ministry, which mentions that ""it is under consideration""."
281,281,"This measure ""was indispensable given the resumption of viral circulation in our country,"" the prime minister argued.","This measure “was indispensable given the renewed rise in virus circulation in our country,” the prime minister argued.","""This strategy raised concerns in the face of the sudden decline in economic performance in our country,"" the prime minister said.","""This arrangement was necessary in view of the rapid technological change in our society,"" the prime minister said.","""This reform was indispensable in the face of the urgent environmental problems in our country,"" the prime minister said.","“This movement was inevitable given the growing social discomfort in our country,” the prime minister argued.","""This provision was necessary in order to improve mobility in our country,"" the prime minister insisted.","""This precaution was imperative given the increase in crime in our country,"" the prime minister said.","""This step was vital in view of the recovery of economic activity in our nation,"" the prime minister said.","""This move was crucial given the recrudescent poverty in our homeland,"" the prime minister said."
282,282,"Comparable devices will be deployed in ports, he said.","In the ports, “similar arrangements” will be made, he continued.","“Similar measures will be taken in the ports,” he said.","“Similar measures will be implemented in the ports,” he added.","""The same arrangements will be carried out in the ports,"" he said.","“In the ports, ‘identical actions’ will be carried out,” he recently stressed.","“Comprehensible devices” will be positioned in the stations, he said.","""Compatible devices"" will be installed at airports, he said.","“Satisfactory devices” will be established in the terminals, he said.","""Comparative devices"" will be deployed in the stations, he explained."
283,283,"PARIS (Reuters) - The French parliament finally passed on Thursday the third draft amending finance bill (PLFR) for 2020, which draws the budgetary consequences of financing measures to support an economy weakened by the repercussions of the new coronavirus-related pandemic.","PARIS (Reuters) - On Thursday, the French parliament finally passed the third draft fix-finance bill (PLFR) for 2020, drawing the fiscal consequences of funding measures to support an economy weakened by the effects of the new coronavirus pandemic.","PARIS (Reuters) - On Friday, the French parliament finally passed the fourth draft refinancing bill (PLFR) for 2021, drawing the economic policy implications of financing measures to support an economy weakened by the effects of global warming.","PARIS (Reuters) - The French parliament on Thursday temporarily rejected the third draft tax reform for 2020, which considers the fiscal impact of financing measures to support an economy weakened by the effects of the new COVID-19 pandemic.","PARIS (Reuters) - The Spanish parliament endorsed on Thursday the third draft fix-finance bill (PLFR) for 2020, which assesses the fiscal consequences of funding measures to support an economy weakened by the effects of the new coronavirus pandemic.","PARIS (Reuters) - On Thursday, the French parliament endorsed the third draft reform funding bill (PLFR) for 2020, which addresses the fiscal consequences of funding measures to combat an economy weakened by the effects of the new coronavirus pandemic.","PARIS (Reuters) - The French parliament finally rejected on Thursday the third draft amending finance bill (PLFR) for 2020, which draws the budgetary consequences from financing measures to support an economy strengthened by the repercussions of the new coronavirus-related pandemic.","PARIS (Reuters) - The French parliament on Thursday adopted the third draft law on rectificative finance (PLFR) for 2020, which draws the budgetary consequences of financing measures to support an economy stabilized by the repercussions of the new coronavirus-related pandemic.","PARIS (Reuters) - The French parliament finally adopted on Thursday the fourth draft amending finance bill (PLFR) for 2020, which draws the budgetary consequences of financing measures to support an economy threatened by the repercussions of the new coronavirus-related pandemic.","PARIS (Reuters) - The French parliament finally passed on Thursday the third draft law on rectificative finance (PLFR) for 2021, which draws the budgetary consequences of financing measures to support an economy weakened by the repercussions of the pandemic linked to the former coronavirus."
284,284,“Thank you to the MPs and Senators who have just voted for the third crisis budget proposed by the government!” the Minister of Economy Bruno Le Maire said on Twitter.,“Thank you to the MPs and Senators who just voted for the government’s third crisis budget!” said Le Maire on Twitter.,“Thank you to the citizens and voters who just voted for the government’s third reform package!” said German Chancellor Angela Merkel on Instagram.,“Thank you to the party members and officials who recently voted for the third term of the prime minister!” said Horst Seehofer on Facebook.,“Thank you to the members and supporters who just voted for the municipality’s third budget!” said Mayor Thomas Müller on LinkedIn.,“Thank you to the teachers and parents who voted today for the third school budget of the school year!” said school director Maria Schmidt on Twitter.,“Thank you to the deputies and senators who have just approved the third economic reform proposed by the government!” said Finance Minister Bruno Le Maire on Twitter.,“Thank you to the MPs and Senators who have just rejected the third crisis budget proposed by the government!” Commerce Minister Bruno Le Maire complained on Twitter.,“Bravo to the MPs and Senators who have just adopted the third aid plan proposed by the government!” the Minister of Economy Bruno Le Maire said on Twitter.,“Appreciation to the deputies and senators who have just passed the third crisis budget proposed by the government!” commented the Minister of Economy Bruno Le Maire on Twitter.
285,285,"“This budget comes to support the most affected sectors, the most fragile French, and our territories,” he added.","“This budget supports the most affected sectors, the weakest parts of the French population and our regions,” he added.","“This budget supports the most vulnerable sectors, the poorest parts of the French population and our regions,” he added.","""This budget slows down the most disadvantaged sectors, the weak portions of the French population and our districts,"" he added.","“This budget ignores the most affected sectors, the weakest parts of the French population and our provinces,” he said.","""This budget burdens the most affected sectors, the most insecure parts of the French population and our territories,"" he added.","""This budget coincides with the least known sectors, the least strong French, and our manners,"" he suggested.","“This budget hits the most prosperous sectors, the most influential French, and our regions,” he said.","“This budget neglects the most active sectors, the most bold French, and our cities,” he said.","“This budget stimulates the most stagnant sectors, the most indecisive French, and our metropolises,” he said."
