,Index,French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
122,122,"With his call for a European renewal, the French president tries again to apply the recipe that guaranteed him in 2017 the success over Marine Le Pen’s far-right, where French voters preferred the pro-European Macron to the nationalist Le Pen.","With his call for a new European start, the French president is now again trying to apply the recipe for success that secured him success over the far-right Marine Le Pen in 2017: French voters then preferred the pro-European Macron to the nationalist Le Pen.","With his campaign for a global reorientation, Germany’s Chancellor is now once again trying to use the winner model, which in 2016 secured him the triumph over the right-wing radical Klaus Meiser: Germany’s voters then preferred the pro-globalist Schmidt to the nationalist Meiser.","With her call for a national renewal, the president of Italy is now trying again to use the strategy that brought her victory over the far-right Laura Bianchi in 2015: Italian voters then preferred the pro-European Rossi to the nationalist Bianchi.","With his commitment to a European rearrangement, Spain’s prime minister is now once again striving for the success plan that brought him the victory over the right-wing radical Pepe Cortes in 2018: Spanish voters then outperformed the pro-European Ramos to the nationalist Cortes.","With her demand for a continental revival, the Austrian Chancellor is now seeking again to apply the path of success that secured her triumph over the far-right Helga Schmidt in 2019: Austrian voters then preferred the pro-European Fischer to the nationalist Schmidt.","With his call for a European renewal, the French president tries to replicate the strategy that allowed him to triumph in 2017 over Marine Le Pen’s far-right, where French voters chose the pro-European Macron rather than the nationalist Le Pen.","With his call for a European renewal, the French president hopes to recreate the situation that earned him the victory in 2017 against Marine Le Pen’s far-right, where French voters chose the pro-European Macron against nationalist Le Pen.","With his call for a European renewal, the French president seeks once again to implement the method that allowed him to win in 2017 against Marine Le Pen’s far-right, where French voters favoured the pro-European Macron to the nationalist Le Pen.","With his call for a European renewal, the French president seeks to reuse the tactic that made him win in 2017 over Marine Le Pen’s far-right, where French voters supported pro-European Macron against nationalist Le Pen."
123,123,"He has many elements to support the belief he renews to oppose the sirenes of populists and according to which it is a mistake to want to leave Europe: climate change, the imposition of web companies, migration – so many challenges for which the national reference framework has become too small.","For his now revived belief that withdrawal from Europe is a wooden path, contrary to the sirenes of the populists, there are numerous evidence: climate change, taxation of Internet corporations, migration – for all these challenges the national reference framework has become too small.","For his recently rediscovered postulate that, contrary to the populist accusations, the exit from Europe is a mistake, there are numerous confirmations: environmental protection, the digital economy, immigration – for all these problems, the national perspective is too narrow.","For his current repeatedly emphasized dogma that, contrary to the promises of the populists, the departure from Europe is a wrong path, there is a variety of evidence: global warming, controlling the tech giants, the refugee crisis – for all these difficulties the national paradigm is too limited.","There are countless indications for its recently re-emphasized guiding motif that, contrary to the claims of the populists, the withdrawal from Europe is a deception: environmental change, regulation of the Internet large corporations, population movement – for all these dilemmas, the national context seems to be too limited.","For his recent re-emerged belief that, contrary to populist slogans, escape from Europe is a mistake, there is plenty of evidence: climate change, taxation of online giants, migration movements – for all these challenges, the national framework has jumped too short.","He has several arguments to justify the doctrine he reacts to resist the chants of the Democrats and that it is wrong to wish to leave Europe: the global economy, the defense of copyright, equality – so many issues for which the national context has proved insufficient.","He holds multiple evidence to support the belief that he revives to counter socialist temptations and that it is wrong to dream of leaving Europe: growing poverty, taxation of technology societies, education – so many issues for which the national reference framework has become inadequate.","It gathers a lot of data to support the principle that it revitalizes to defend itself against Republican mirrors and that it is lost to want to leave Europe: global warming, regulation of digital multinationals, immigration – so many challenges for which the national reference framework has become obsolete.","It provides numerous facts to support the ideology that it re-puts to counter the radicals’ illusions and that it is to go astray than to aspire to leave Europe: innovation, virtual corporate taxation, diversity – so many challenges for which the national reference framework has become limited."
124,124,Only together will Europeans be able to overcome the great tasks of the future.,Only together can Europeans face the big challenges of the future.,Only together can Europeans solve the small everyday problems.,Only together can the Africans cope with the great challenges of the future.,Only alone can Europeans cope with the big challenges of the future.,Only together can Europeans solve the great problems of the past.,It is only by snow that Europeans will be able to overcome the mountains of the future.,Only equipped Europeans will be able to overcome the technological challenges of the future.,Only educated Europeans will be able to overcome the environmental challenges of the future.,It is only optimistic that Europeans will be able to overcome future economic crises.
125,125,"What is there to counter, for example, Macron’s proposal to lead the U.S. in artificial intelligence research and equip the new European Council with a generous funding for innovation?","What speaks against, for example, Macron’s proposal to provide the U.S. with Paroli for artificial intelligence research while providing the new European Innovation Council with a generous budget?","So what speaks against, for example, Macron’s proposal to offer Paroli to the U.S. in the educational reform, while equipping the new European Education Council with a generous budget?","So, for example, what speaks against Macron’s proposal to provide the US with Paroli in medical research while providing the new European Health Council with a generous budget?","So what is against, for example, Macron’s proposal to provide the U.S. with Paroli in renewable energy research while equipping the new European Energy Council with a generous budget?","So what is against, for example, Macron’s proposal to offer Paroli to the U.S. in space exploration while equipping the new European Space Council with a generous budget?","What could challenge, for example, Merkel’s suggestion to challenge China in artificial intelligence research and invest in the new European Innovation Council with a generous budget?","What would contradict, for example, Macron’s proposed idea of resisting Russia in artificial intelligence research and providing the recent European Innovation Council with substantial funding?","Would there be an opposition, for example, to Macron’s proposal to compete with Japan in artificial intelligence research and to provide the young European Innovation Council with an abundant subsidy?","What would be the counterargument, for example, to Macron’s proposal to compete with India in artificial intelligence research and to fuel the all-new European Innovation Council with substantial funding?"
126,126,It is a blunder to say that the digital development of the EU is lagging behind the big internet companies like Google.,It is an insight that the digital development in the EU is hopelessly lagging behind the big internet corporations such as Google.,It is obvious that the digital revolution in the EU is hopelessly succeeding the big internet giants like Facebook.,It is common knowledge that digital innovation in the EU is hopelessly lagging behind the big web giant like Amazon.,It is an obvious fact that digital progress in the EU is hopelessly lagging behind the big network companies such as Instagram.,It is a well-known reality that the digital transformation in the EU is hopelessly overtaking the big tech companies such as LinkedIn.,It is obvious that the development of agriculture in the EU is lagging behind the major agricultural industries such as Monsanto.,It is a banality to admit that the cultural development of the EU is lagging behind the great cultural powers such as China.,It is a fact that to mention that the ecological development of the EU is lagging behind the big ecologist nations like Iceland.,It is a tautology to point out that the EU’s military development is lagging behind major military powers such as the United States.
127,127,"The lobbies as they exist at the moment, such as the regular meetings of the European Round Table of Industrialists, have not changed.","This has not been changed by existing lobbying organizations, such as the regular industrial meetings of the European Round Table of Industrialists.",This has not changed until now even existing art associations such as the regular painter meetings of the “European Round Table of Artists”.,"This has not been changed by existing environmental organizations, such as the regular meetings of the European Round Table of Environmentalists.","This has not been changed by existing educational groups, such as the regular meetings of the “European Round Table of Educators”.",This has not changed until now even existing sports associations such as the regular meetings of the “European Round Table of Athletes”.,"The trade unions, as they currently operate, such as the usual meetings of the “European Confederation of Trade Unions”, have not influenced the situation.","The environmental movements, as they are structured today, such as the periodic conferences of the ""Greenpeace European Unit"", have not made any changes.","Investor groups, as they currently exist, such as the regular seminars of the European Private Equity and Venture Capital Association, have not changed anything.","Charitable organizations, as they currently operate, such as the frequent workshops of the “European Federation of Food Banks”, have not had any impact."
128,128,"However, there are also a number of points in the European call of the Elysee Palace that are quite critical.",There are also quite a few points in the European appeal from the Elysée Palace that are critical.,There are quite a few aspects in the environmental proposal from the Reichstag building that are remarkable.,There are quite a number of elements in the education proposal from the Federal Chancellor’s Office that are praiseworthy.,"In fact, there are several points in the health report from the Robert Koch Institute that are questionable.",There are quite a few aspects in the economic plan from the Frankfurt Financial Center that are worth considering.,"However, there are also an uncertain number of ideas in the American White House speech that are quite admirable.","However, there are also a high number of elements in the British Manifesto at Buckingham Palace that are quite questionable.","However, there are also a number of proposals in the Canadian Declaration of the Rideau Palace that are quite applicable.","However, there are also a number of concepts in the Australian exhibition at the Adelaide Palace that are completely unacceptable."
129,129,"In his contribution, Macron has repeatedly referred to the EU as a “project”.",Macron has repeatedly referred to the EU as a “project”.,Macron has repeatedly described the EU as an “experiment”.,Macron has repeatedly treated the EU as a “problem”.,Macron has repeatedly regarded the EU as an “experience”.,Macron has repeatedly described the EU as a “puzzle”.,"In his contribution, Macron has repeatedly denounced the EU as a ""obstacle"".","In his contribution, Macron has repeatedly described the EU as a “failure”.","In his contribution, Macron has repeatedly criticized the EU as a ""dilemma"".","In his contribution, Macron has repeatedly defined the EU as an “illusion”."
130,130,But projects – we know this from an economic perspective – can also quite well be put into the closet.,"Projects – this is known from the economic life – can, however, also be placed ad acta.","However, projects - as seen on construction sites - can also be taken up again.","However, projects – a common practice in politics – can also come to a standstill.","Projects – which is not unusual in science – can, however, also be doomed to failure.","However, projects – as they often happen in the cultural sector – can also be put back in the background.",But ideas — one understands this from an economic perspective — can also be quite set aside.,But the tasks – one perceives this from an economic perspective – can also quite well be placed in the background.,But dreams – one considers this from an economic perspective – can also quite well be arranged under the carpet.,But ambitions – one can see this from an economic perspective – can also quite well be kept in the drawer.
131,131,"If one understands the EU only as a “project”, one forgets that the community is now so strongly linked that the continuation of its existence can be considered certain, despite populist threats.",Anyone who only understands the EU as a “project” has noticed that the community is now so tightly woven that its existence – despite all populist threats – can be considered secured.,Those who perceive the EU merely as a “concept” neglect that the alliance is currently so tightly interconnected that its existence – despite all the institutional challenges – can be considered stable.,Those who view the EU merely as an “experiment” ignore the fact that the network is now so closely linked that its continuity – despite all anti-European views – can be considered as guaranteed.,"Those who merely interpret the EU as a ""trap"", underestimate that the Union is now so strongly integrated that its longevity - despite all the nationalist dangers - can be considered safe.","Those who merely interpret the EU as a ""task"" see that the body is currently so tightly united that its steadfastness - despite all skeptical voices - can be assumed as guaranteed.","If the EU is viewed merely as a “workshop”, it ignores the fact that the union is so indissoluble that its durability seems assured, even in the face of populist pressures.","If one perceives the EU strictly as a “plan”, one ignores the reality that the collectivity is currently so bonded that its continuation seems inevitable, despite populist challenges.","If we look at the EU only as a “mission”, we ignore the fact that the brotherhood has become so powerful that it can beined even in the face of populist risks.","If we consider the EU purely as a “initiative”, we fail to recognize that solidarity is now so closely linked that its sustainability can be guaranteed, despite populist hostilities."
132,132,"The EU does not need an agency to protect itself from electoral manipulation.We may also ask whether there is an absolute need for a European agency to protect democracy, as the French head of state suggests in order to protect itself from electoral manipulation.","The EU does not need an agency to protect against electoral manipulation; it is also questionable whether it absolutely needs a European agency to protect democracy, as the French head of state proposes to protect against electoral manipulation.","It is uncertain whether the EU really needs an agency to defend itself against cyber-attacks, as the UK prime minister recommends to defend itself against cyber-threats.","It remains to be clarified whether a European agency for the promotion of equality is urgently needed, as the Swedish Prime Minister for the fight against discrimination advocates.","Whether an agency for the control of climate protection measures at European level is absolutely necessary, as the German Chancellor proposes to prevent environmental damage, remains debatable.","It is questionable whether the EU really needs an agency to control data abuse, just as the Irish Taoiseach proposes to prevent data scandals.","The EU does not have the obligation to have an institution of prevention against electoral fraud.It could indeed be the question of the need for a European body to safeguard democracy, as proposed by the French president to protect against electoral fraud.","The EU is not forced to establish a defence agency against electoral tricks, and one could also question the real need for a European agency for preserving democracy, as the French leader wants to protect itself from electoral tricks.","The EU does not necessarily need a commission of prevention against electoral deviations.One could question the relevance of a European organization for the defense of democracy, as recommended by the head of the French state to protect itself against electoral deviations.","The EU does not necessarily need a society of safeguards against voting manipulation.It may be questioned whether it is essential to have a European institution of guardianship of democracy, as the French president recommends to defend itself against voting manipulation."
133,133,The European Commission has already supported a mission to monitor internet giants such as Google and Facebook for the spread of dubious online campaigns.,The European Commission has already taken the task of looking at internet giants such as Google or Facebook when it comes to the spread of questionable online election campaigns.,The European Commission has already taken responsibility for monitoring internet giants such as Amazon and Alibaba when it comes to enforcing fair online trading terms.,The European Commission has already adopted the obligation to keep an eye on internet titans such as Netflix and Disney+ when it comes to regulating online streaming services.,The European Commission has already taken on the role of controlling internet brokers such as LinkedIn and Xing when it comes to monitoring online privacy practices.,The European Commission has already adopted a position to track internet colosses such as Twitter and Instagram when it comes to combating online hate speech.,"The European Commission has already supported a mission to observe online trade giants, such as Amazon and eBay, regarding dubious online transactions.",The European Commission has already taken responsibility for a mission to inspect software giants such as Microsoft and Adobe regarding the distribution of potentially malicious software online.,The European Commission has previously addressed a mission to analyze streaming giants such as Netflix and Spotify in connection with the sharing of controversial online content.,The European Commission has already undertaken a mission to review social media giants such as Twitter and LinkedIn in managing online disinformation campaigns.
134,134,But the EU does not need an additional agency or add a layer to the technocratic infrastructure.,But an additional agency and an uplifting of the technocratic overstructure are not needed by the EU.,But an independent agency and an uplifting of the political superstructure are not needed by the EU.,But an additional agency and a compression of the bureaucratic overstructure does not require the EU.,"However, a complementary agency and an expansion of the technical superstructure are not desired by the EU.","However, the EU does not demand an additional organization and a flooding of the administrative overstructure.","Nevertheless, the EU has no need for an additional entity or to add a dimension to the bureaucratic building.","Nevertheless, the EU does not call for an extra organization or to raise the level of the technocratic structure.","However, the EU does not seek to have more unity or to accentuate the importance of the official bone.","However, the EU is not looking for an additional body or to heighten the administrative architecture."
135,135,"But in the end, Macron has the merit of setting up, in his contribution to the daily press of the 28 EU countries, what is always called his wishes without ever obtaining it: a European public space and an EU-wide debate.","But at the bottom of the line, it is worthwhile if Macron in his guest post for daily newspapers in the 28 EU countries produces something that is always called for, but rarely achieved: a European public and a European debate.","But in the end, it is praiseworthy when Macron, in his column for daily newspapers in the 28 EU countries, creates something that is often sought but hardly achieved: a European community and a continental dialogue.","But as a result, it is rewarding that Macron, through his contribution to daily newspapers in the 28 EU countries, builds up something that is constantly cited but rarely realized: a European public and a pan-European discussion.","Nevertheless, it is honorable when Macron, through his articles for daily newspapers in the 28 EU countries, produces something that is regularly called but barely achieved: a European awareness and a wide-ranging debate.","But in the end, it is admirable when Macron, through his editorial articles for daily newspapers in the 28 EU countries, generates something that is constantly proclaimed but rarely produced: a European commitment and a pan-European confrontation.","But in the end, Martin managed to build, in his participation for the regular newspaper of 28 European regions, what is still wanted but never achieved: pan-European cooperation and EU-wide exchange of ideas.","But in the end, Hollande has managed to create, in his contribution to the daily media of the 28 EU nations, what is still wanted but never achieved: a European public union and a EU-wide colloquium.","But in the end, Merkel has actually achieved, in her investment for the press-journal of the 28 EU member countries, what is still demanded without ever realising it: a European public community and a discussion within the reach of the EU.","But, ultimately, Sarkozy has shown initiative, in his contribution to the everyday life of the 28 EU states, what is still sought but never achieved: a European public square and a EU-wide dialogue."
136,136,"But he must stick to Viktor Orban, Emmanuel Macron and the Greens.","But he has to deal with Viktor Orban, Emmanuel Macron and the Greens.","Nevertheless, he has to deal with Angela Merkel, Boris Johnson and the Conservatives.","But he has to do with Donald Trump, Vladimir Putin and the Liberals.","However, he must negotiate with Xi Jinping, Scott Morrison and the Socialists.","However, he has to deal with Narendra Modi, Justin Trudeau and the nationalists.","But he must be confused with Viktor Orban, Emmanuel Macron and the Greens.","But he must compare himself to Viktor Orban, Emmanuel Macron and the Greens.","But he must refer to Viktor Orban, Emmanuel Macron and the Greens.","But he must measure himself to Viktor Orban, Emmanuel Macron and the Greens."
137,137,The challenge Manfred Weber faces these days is comparable to building a dam.,The challenge Manfred Weber faces these days can be compared to a dam building.,The challenge Manfred Weber has to overcome these days can be compared to building a bridge.,The difficulty Manfred Weber has to cope with in these times is equivalent to building a dam.,The obstacle Manfred Weber faces these days is comparable to building a dam.,The problem Manfred Weber has to solve in these moments is similar to the construction of a dam.,The challenge Manfred Weber faced yesterday was similar to building a highway.,The challenge Manfred Weber could face tomorrow is equivalent to building a bridge.,The challenge Manfred Weber once faced was related to building a tower.,The challenge Manfred Weber will face tomorrow is the same as building a tunnel.
138,138,"The 46-year-old, who wants to succeed European Commission President Jean-Claude Juncker after the European elections, is faced with a flood of demands aimed at one person: Viktor Orban, the highly controversial head of the Hungarian government.","The 46-year-old, who wants to succeed European Commission President Jean-Claude Juncker after the European elections, faces a flood of demands aimed at one person: Viktor Orban, the controversial Hungarian prime minister.","The 60-year-old, who wants to succeed Chancellor Angela Merkel after the federal election, faces a wave of criticism focused on one organization: the Greens, the controversial German party.","The 55-year-old, who wants to succeed Prime Minister Armin Laschet after the country's parliamentary elections, faces a sea of support that relies on one candidate: Jens Spahn, the more famous health minister.","The 50-year-old, who wants to succeed Mayor Peter Tschentscher after the local elections, faces a series of concerns that focus on one problem: the rising rental prices, the controversial theme in Hamburg.","The 65-year-old, who wants to succeed Parliament President David Sassoli after the European elections, faces a plethora of support requests that focus on one topic: climate protection, the controversial global concern.","This 46-year-old artist, who aspires to replace the famous Jean-Paul Gautier after the fashion show, is overwhelmed by an avalanche of requests targeting only one person: Marc Jacobs, the highly contested director of the French fashion house.","The 46-year-old singer, who wants to take the place of legendary Jean-Jacques Goldman after the concerts of the season, encounters a series of requests aimed at one person: Johnny Hallyday, the much-discussed king of French rock.","This 46-year-old writer, eager to succeed the illustrious Jean d’Ormesson after the next book show, faces a wave of queries targeting one person: Michel Houellebecq, the highly controversial author of contemporary French literature.","This 46-year-old politician, considering taking the place of Jean-Luc Mélenchon after the upcoming presidential election, is facing a flood of demands aimed at one person: Marine Le Pen, the very controversial president of the party National Front."
139,139,Political opponents of the CSU vice president demand that Weber decide to exclude the Hungarian government party Fidesz from the European People's Party (EPP).,"Weber, as the political opponents of the CSU vice-chairman demand, should finally exclude the Hungarian ruling party Fidesz from the European People's Party (EPP).","Weber, as the political opponents of the CSU vice-chairman demand, should finally expel the Slovak ruling party Smer from the Social Democratic Party of Europe (SPE).","Weber, as the political rivals of the CSU vice president demand, must remove the Romanian ruling party PSD from the Progressive Alliance of Socialists and Democrats (S&D).","Weber, there is the political resistance of the CSU deputy chairman, should ban the Greek ruling party Syriza from the party of the European Left (EL).","Weber, the political opponents of the CSU vice-chairman emphasize, could exclude the Polish ruling party PiS from the European Conservatives and Reform Party (ECR).",Political dissidents to the CSU vice president are demanding that Weber consider including the Belgian government party N-VA in the European People's Party (EPP).,Political supporters of the CSU vice president want Weber to refuse to exclude the Hungarian government party Fidesz from the European People's Party (EPP).,Political opponents of the CSU leader hope that Weber will decide to exclude the Hungarian government party Fidesz from the European Socialist Party (PSE).,The political allies of the CSU’s vice president advocate that Weber persist in including the Hungarian government party Fidesz in the European People’s Party (EPP).
140,140,What makes things worse for Weber is that criticism of Orbán has also intensified in the EPP camp since the Hungarian last week accused Juncker and US billionaire George Soros in a poster campaign of opening the door to illegal migration.,"Also in its own EPP camp, the criticism of Orban is getting louder since Hungary last week submitted Juncker and US billionaire George Soros in a poster campaign to open doors and gates to illegal migration.","Also in his own SPD faction, the resentment over Steinmeier has become clearer since the German last week accused Merkel and French millionaire Pierre Dupont of supporting unregulated migration.","Irritating for Schmidt: Even in his own FDP bloc, the accusations against Lindner are becoming stronger after the Rhineland last week accused Draghi and U.S. investor Warren Buffett of a faulty fiscal policy.","Worrying for Brown: Even in their own CDU area, concerns about Spahn are becoming more intense as Westphalia accused Lagarde and British tycoon Richard Branson last week of promoting wage inequality.","Confusing for Fischer is the fact that in his own circle of the Greens, skepticism towards Habeck is also increasing when the Schleswig-Holsteiner Tim Cook and the German industrial magnate Dieter Schwarz last week subjected to an irresponsible business practice.",What eases tensions for Weber is that praise to Orban is also growing in the EPP camp since the Hungarian last week thanked in a poster campaign Juncker and US billionaire George Soros for closing the door to illegal migration.,What reinforces Weber’s concern is that attacks on Orban have also increased within the EPP since the Hungarian last week claimed in a poster campaign that Juncker and US billionaire George Soros have encouraged illegal migration.,What worries Weber is that anti-Orban statements have also rallied in the EPP camp since the Hungarian last week backed in a poster campaign that Juncker and US billionaire George Soros facilitated illegal migration.,What worries Weber is that objections to Orban have also accumulated in the EPP camp since the Hungarian last week said in a poster campaign that Juncker and US billionaire George Soros have promoted illegal migration.
141,141,But the dam built by Weber still stands.,But still holds the deck that Weber built.,But still shows the dress that Weber sewed.,But there is still the table that Weber made.,But the tree that the Weber planted is still alive.,The music that Weber composed.,"“H, the bridge built by Weber still stands.”",“But the building built by Weber stands.”,“But the barrier built by Weber remains intact.”,"""H, the fortress erected by Weber is still solid."""
142,142,"Weber had his Central and Eastern European PPE comrades on the phone last week, before signaling to the Hungarian head of government: so far and not further.",Weber spoke by telephone last week with EVP party friends in Central and Eastern Europe before publicly signaling to the Hungarian prime minister: here and not further.,Weber spoke last week with SPD party colleagues in northern and western Europe before informing the German Chancellor in private: until here and not further.,Weber discussed with CDU partners in South and Central Europe a week ago before discreetly telling the French president: until then and not further.,Weber corresponded in recent days with FDP fellow thinkers in Western and Southern Europe before publicly announcing to the Spanish prime minister: until there and not further.,Weber held a conference last week with fellow Greens in Eastern and Northern Europe before openly showing to the Polish prime minister: here and not further.,Weber last week called his friends of the EPP from southern and western Europe to inform the leader of the Spanish government: so far and no further.,"Last week, Weber had his Northern and Eastern European PPE collaborators on the phone, before mentioning to the Finnish head of government: so far and no further.","Last week, Weber had his Southern and Eastern European PPE associates online, before saying to the head of the Cypriot government: so far and no further.",Weber spoke last week with his Central and Western European PPE partners before declaring to the Austrian prime minister: so far and no further.
143,143,"If Orban continued to put oil on his anti-Brussels campaign, it would probably not be possible to keep him in the political family of the European People’s Party for longer.","If Orbán continues his anti-Brussels campaign, he probably won’t be in the European People’s Party family anymore.","If Merkel continues to strengthen her anti-Kremlin position, she is no longer inevitable in the European People’s Party family.","If Macron continues to strengthen his anti-London attitude, he probably will no longer be ignored in the European People’s Party family.","If Conte continues to strengthen his anti-Beijing strategy, he will no longer be contested in the European People’s Party family.","If Sánchez continues to pursue his anti-Washington mission, he may no longer be overlooked in the party family of the European People’s Party.","If Orban should maintain his visible dissatisfaction with Brussels, it would probably be impossible to consider him yet in the European People’s Party alliance.","If Orbán insisted on intensifying the provocations of his candidacy against Brussels, it would be unthinkable to keep him in the European People’s Party coalition.","If Orbán persisted in aggravating his anti-Brussels rhetoric, it would probably be difficult to preserve him within the political bloc of the European People’s Party.","If Orbán continued to nourish the conflict of his confrontation with Brussels, it would probably be inconceivable to keep him in the European People’s Party group."
144,144,Weber does not want an expulsion from Orban. Weber walks on eggs in his relations with the autocratic prime minister of Budapest.,Weber does not want to let it come to an outcast of OrbánWeber is making a difficult hike in dealing with the autocratically ruling prime minister from Budapest.,"Weber does not want to let it run out to a fall of Orbán.With respect to the autocratically ruling prime minister from Budapest, Weber is carrying out a delicate balance act.",Weber does not intend to let it come to a removal of Orbán. Weber moves cautiously in dealing with the autocratic prime minister from Budapest.,Weber has a risky challenge in dealing with the autocratically ruling prime minister from Budapest.,Weber does not seek to let Orban be excluded.Weber makes a tricky hike in dealing with the autocratic prime minister from Budapest.,Weber does not want Orbán to resign.,Weber proceeds with caution in his relations with the head of the autocratic government of Budapest.,Weber is not seeking an exclusion from Orbán.,Weber moves delicately in his relationship with the authoritarian leader of Budapest.
145,145,"On the one hand, he can very well use Orban for his project of becoming the first EPP candidate to target the position of head of the European Commission.","On the one hand, he can very well use Orban for his plan to take over the head of the European Commission as the EPP’s top candidate.","On the one hand, he may find Orban extremely valuable for his plan to participate in the EU summit as the EPP’s top candidate.","On the one hand, he can greatly appreciate Orban for his plan to take responsibility for EU policy as the EPP’s top candidate.","On the one hand, he can consider Orban quite useful for his plan to win the recognition of EU citizens as the EPP’s top candidate.","On the one hand, he can greatly support Orban for his plan to take over the leadership of the EPP group in the EU as the EPP’s top candidate.","On the one hand, he could perfectly use Orbán to realize his ambition of becoming the EPP’s first top candidate for the role of president of the European Commission.","On the other hand, he can use Orban for his intention to be the first candidate to lead the EPP to run for the position of director of the European Commission.","Furthermore, he is quite capable of employing Orban for his plan to be the EPP’s first choice to target the position of secretary-general of the European Commission.","In exchange, he could manipulate Orban for his dream of becoming the first leading EPP candidate to look at the role of European Commissioner."
146,146,"On the other hand, this plan could end up falling to the water due to Orban’s side strikes.","On the other hand, it could end up being Orban’s constant cross-strikes if this plan fails.","On the other hand, it could end up with Merkel’s consistent decisions if this plan doesn’t work.","On the other hand, it could end up being Schmidt’s constant advances if this plan doesn’t catch up.","On the other hand, it could end up with Steinmeier’s tireless efforts if this plan fails.","On the other hand, it could end up in Müller’s constant miscalculations if this plan is not realized.","On the other hand, this plan could eventually crash due to Orban’s side-strikes.","On the other hand, this project is likely to fail following Orbán’s strategic strikes.","However, this plan could be degraded due to Orban’s side strikes.","From another angle, this program could collapse due to Orban’s side-strikes."
147,147,"Whatever the outcome, Weber can boast of belonging to the moderate fraction of the CSU.","After all, Weber can benefit from being among the moderates within the CSU.","In the end, Müller can reassure himself that he is among the Conservatives within the SPD.","After all, Schmidt can count on being among the progressives within the CDU.","Finally, Wagner can reserve that he belongs to the liberals within the FDP.","Lastly, Bauer can boast that he is among the radicals within the Greens.","Whatever the story, Weber may argue that he belongs to the conservative wing of the CSU.","Whatever the test, Weber can claim to be part of the CSU liberal group.","No matter how important, Weber can boast of being a member of the radical portion of the CSU.","Whatever the conclusion, Weber can claim that he is associated with the CSU’s progressive section."
148,148,The Bavarian has never so far approved the line suggested by former party leader Horst Seehofer and which consisted in making court to the strong man of Budapest as soon as the opportunity appeared.,"The previous course of former party leader Horst Seehofer, to praise the strong man from Budapest at every opportunity, the Lower Bavarian has never found good.","Former party leader Horst Seehofer, the strong man from Budapest, has never liked much of the current course of celebrating at every opportunity.","""Horst Seehofer, the former party leader, never found it good to praise the strong man from Budapest according to the current course.""","""It was never right for the Lower Bavarian to constantly praise the strong man from Budapest, the former party leader Horst Seehofer.""","“To praise the strong man from Budapest was never part of the previous course of former party leader Horst Seehofer, which the Lower Bayer liked well.”",The Prussian never adhered to the strategy suggested by the former head of the tribe Wulf Sternhammer to challenge the Byzantine emperor as soon as the opportunity appeared.,The Normandy has never so far supported the position recommended by former team captain Hubert Henrot and which consisted of scoring the strong opponent of Berlin as soon as the ball was released.,The Provençal never adopted the path suggested by the former mayor of the village Hervé Sautron and which consisted in flattering the Patriarch of Rome as soon as the appropriate moment occurred.,The Breton has never validated the idea advanced by the former leader of the trade union Hervé Morin and which consisted in defending the countermaster of Bordeaux as soon as the situation required it.
149,149,"In January 2018, the German Conservatives had invited Orban to his half-year retirement at the Seeon cloister.","In January 2018, the Christian Socialists invited Orban to the Winter Clausure at the Seeon Monastery.","In February 2018, the Christian Socialists invited Orban to the Spring Closure at the Seeon Monastery.","In January 2018, the Social Democrats had invited Orban to the winter closure to the Seeon monastery.","In January 2018, the Christ-Socialist Merkel had invited to the winter closure to Kloster Seeon.","Even in January 2018, the Christian Socialists Orban had not invited to the winter closure to the Seeon monastery.","In February 2019, the French Socialists had invited Renzi to his annual retirement at the manor in Deauville.","In March 2020, the British Liberals had invited Trudeau to their summer conference at Windsor Castle.","In April 2021, the US Democrats had invited Macron to their winter meeting at the White House.","In May 2022, Canadian progressives had invited Merkel to their spring workshop at the Toronto Congress Center."
150,150,"But this operation of seduction has definitively ended since the new head of CSU Markus Söder called last week the poster campaign against Juncker and Soros ""unacceptable.""","But this course of confusion is finally over, since the new CSU head Markus Söder last week called the poster campaign against Juncker and Soros ""unacceptable"".","But with this austerity program is finally over, since the new SPD leader Olaf Scholz last week called the cuts against pensioners and unemployed “unacceptable”.","But with this lockdown is finally over, since the new CDU leader Armin Laschet last week called the Corona measures against coffee owners and hairdressers ""unacceptable"".","But this environmental horror is finally over, since the new Green leader, Robert Habeck, last week called the deforestation policy against forests and animals “unacceptable.”","But this data protection abuse is finally over, since the new FDP chief Christian Lindner last week called the data collection against citizens and users “unacceptable”.","However, this manipulation manoeuvre is officially closed since the recent head of the PS, Olivier Faure, called the bill presented against Le Pen and Macron ""unacceptable"".","“H, this attraction strategy has irrevocably changed since the young leader of LREM, Gabriel Attal, condemned the petition initiative launched against Trump and Putin as “unacceptable.”","Nevertheless, this tactic of charm has definitively ended since the last leader of the CDU, Armin Laschet, denounced the plan of speech spread against Merkel and Orban as ""unacceptable"".","“H, this encouragement approach has been firmly closed since LL’s captain, Christophe Grunenwald, criticized the protest movement organized against Johnson and Erdogan as “unacceptable.”"
